stimulus,target,sound_level,mean_p90_ms,sd_between_runs_ms,n_runs,median_n_per_run,n_per_run_run_01,n_per_run_run_02,n_per_run_run_03,n_per_run_run_04,n_per_run_run_05,n_per_run_run_06,n_per_run_run_07,n_per_run_run_08,n_per_run_run_09,n_per_run_run_10,run_p90_ms_run_01,run_p90_ms_run_02,run_p90_ms_run_03,run_p90_ms_run_04,run_p90_ms_run_05,run_p90_ms_run_06,run_p90_ms_run_07,run_p90_ms_run_08,run_p90_ms_run_09,run_p90_ms_run_10
Click,W3 Peak,30,0.0516095655737705,0.017291815200152477,10,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,0.07372795081967226,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.07372795081967226,0.0409599726775956,0.0819199453551912
Click,W3 Peak,40,0.0409599726775956,0.0,10,117.5,118.0,117.0,117.0,118.0,118.0,118.0,118.0,117.0,117.0,117.0,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956
Click,W3 Peak,50,0.0409599726775956,0.0,10,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956
Click,W3 Peak,60,0.0409599726775956,0.0,10,131.0,131.0,131.0,131.0,130.0,131.0,131.0,130.0,130.0,131.0,131.0,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956
Click,W3 Peak,70,0.0409599726775956,0.0,10,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956
Click,W3 Peak,80,0.0409599726775956,0.0,10,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956
Click,W3 Trough,30,0.1585150942622951,0.016727411840667807,10,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.1638398907103825,0.1679358879781421,0.1638398907103825,0.1679358879781421,0.12697591530054644,0.1679358879781421,0.1679358879781421,0.12697591530054644,0.1638398907103825,0.1679358879781421
Click,W3 Trough,40,0.12574711612021852,0.009066876459162801,10,114.0,114.0,113.0,113.0,114.0,114.0,114.0,114.0,112.0,114.0,114.0,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1515518989071039,0.1228799180327868,0.1228799180327868,0.1228799180327868
Click,W3 Trough,50,0.12287991803278682,0.0,10,122.0,121.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,121.0,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868
Click,W3 Trough,60,0.102399931693989,0.021587801093244628,10,131.0,131.0,131.0,130.0,131.0,131.0,131.0,130.0,131.0,131.0,130.0,0.1228799180327868,0.0819199453551912,0.0819199453551912,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.0819199453551912,0.0819199453551912,0.0819199453551912
Click,W3 Trough,70,0.11427832377049177,0.017102117083321634,10,132.0,132.0,131.0,132.0,132.0,132.0,132.0,131.0,132.0,132.0,133.0,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.11878392076502747,0.1228799180327868,0.1228799180327868,0.0819199453551912,0.0819199453551912,0.1228799180327868,0.1228799180327868
Click,W3 Trough,80,0.12287991803278682,0.0,10,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868
Click,all targets,30,0.11796472131147537,0.010362144524757325,10,207.0,207.0,209.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.09830393442622967,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.09830393442622967,0.1228799180327868,0.1228799180327868
Click,all targets,40,0.0819199453551912,0.0,10,466.0,467.0,464.0,464.0,468.0,468.0,468.0,468.0,463.0,465.0,465.0,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912
Click,all targets,50,0.0819199453551912,0.0,10,491.0,490.0,491.0,491.0,491.0,491.0,491.0,491.0,491.0,491.0,490.0,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912
Click,all targets,60,0.07782394808743165,0.012952680655946777,10,520.0,522.0,521.0,520.0,518.0,520.0,520.0,517.0,518.0,521.0,521.0,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0409599726775956,0.0819199453551912,0.0819199453551912
Click,all targets,70,0.0819199453551912,0.0,10,532.0,532.0,531.0,532.0,532.0,532.0,532.0,531.0,532.0,532.0,533.0,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912
